row,id,field,old,new,note
197,196,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
198,197,body_category,,Upper,category_inferred_2026-01-01T00:00:00Z
198,197,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
199,198,body_category,,Upper,category_inferred_2026-01-01T00:00:00Z
199,198,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
200,199,body_category,,Upper,category_inferred_2026-01-01T00:00:00Z
200,199,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
201,200,equipment,,dumbbell,equip_inferred_2026-01-01T00:00:00Z
201,200,body_category,,Upper,category_inferred_2026-01-01T00:00:00Z
201,200,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
